WKT,objetid,comuna,calle,nombre_de,responsabl,direccion,direcci_1,x,y,altura,barrios,sumi_elect,poblacion,grup_elect,suministr,mail_1,telefono_1
"POINT (-58.4069353700962 -34.621967338554)",97.00000000000,COMUNA 03,CARLOS CALVO,SAN FRANCISCO DE ASIS,EDUARDO JOSE BORGESE,"CALVO, CARLOS 2965","2965 CALVO, CARLOS","-58,4069353700962","-34,621967338554",2965.00000000000,SAN CRISTOBAL,EDESUR,S/D,NO,,patricia.videla723@gmail.com,4941-0132
"POINT (-58.4056182146 -34.6168817920015)",98.00000000000,COMUNA 03,CATAMARCA,HOGAR GERIÁTRICO CATAMARCA S.R.L,LUIS MARCELO RIVAS BLANCO,CATAMARCA 558,558 CATAMARCA,"-58,4056182146","-34,6168817920015",558.00000000000,BALVANERA,EDESUR,,,,hogar_geriatrico_catamarca@hotmail.com rivasbriosso@yahoo.com.ar,"1149313842"
"POINT (-58.4116147867385 -34.6264611626546)",99.00000000000,COMUNA 03,COCHABAMBA,CARPE DIEM,"ISMAEL RICARDO, DIAZ",COCHABAMBA 3279,3279 COCHABAMBA,"-58,4116147867385","-34,6264611626546",3279.00000000000,SAN CRISTOBAL,EDESUR,,,,rastellin@yahoo.com.ar,4931-2536
"POINT (-58.3951646453436 -34.6255287997403)",100.00000000000,COMUNA 03,CONSTITUCION,SANTA BARBARA,GUSTAVO PARGAMENT,CONSTITUCION 2150,2150 CONSTITUCION,"-58,3951646453436","-34,6255287997403",2150.00000000000,SAN CRISTOBAL,EDESUR,,,,aita.residenciasb@gmail.com,4941-3572
"POINT (-58.4062068565251 -34.6211784870251)",101.00000000000,COMUNA 03,DEAN FUNES,GRANNY'S HOUSE,--,DEAN FUNES 950,950 DEAN FUNES,"-58,4062068565251","-34,6211784870251",950.00000000000,SAN CRISTOBAL,EDESUR,,,,complejodeleste.info@gmail.com,4943-2422 / 4942-0719
"POINT (-58.4010535980074 -34.6109577061897)",102.00000000000,COMUNA 03,HIPOLITO YRIGOYEN,LAS CINCO PALMERAS,CHICHOTKY YAMILA,"YRIGOYEN, HIPOLITO 2452","2452 YRIGOYEN, HIPOLITO","-58,4010535980074","-34,6109577061897",2452.00000000000,BALVANERA,EDESUR,S/D,NO,,ychichotky@yahoo.com.ar,4951-4711 / 1564364769
"POINT (-58.4051856782431 -34.6228819659547)",103.00000000000,COMUNA 03,HUMBERTO PRIMO,RESIDENCIA GERIATRICA EN FAMILIA II,JAIDA DARIO OMAR,HUMBERTO 1° 2853,2853 HUMBERTO 1°,"-58,4051856782431","-34,6228819659547",2853.00000000000,SAN CRISTOBAL,EDESUR,,,,"stellamarispuglieseanaranjado@hotmail.com, juan.abuelo@hotmail.com",4943-0075
"POINT (-58.4095789419091 -34.623599258514)",104.00000000000,COMUNA 03,HUMBERTO PRIMO,SANTA PATRICIA,--,HUMBERTO 1° 3140,3140 HUMBERTO 1°,"-58,4095789419091","-34,623599258514",3140.00000000000,SAN CRISTOBAL,EDESUR,S/D,SI,ESTABLECIMIENTO COMPLETO,rgenfamilia@gmail.com,4941-6808
"POINT (-58.4033234486234 -34.6194492395465)",106.00000000000,COMUNA 03,JUJUY,SAN SALVADOR,"ROSA AMELIA, OTERO",JUJUY AV. 863,863 JUJUY AV.,"-58,4033234486234","-34,6194492395465",863.00000000000,SAN CRISTOBAL,EDESUR,,,,"dr.dayan@rgmanantiales.com.ar, graciela.lopez@rhmanantiales.com.ar",4943-0258 / 4943-4295
"POINT (-58.4027836523907 -34.6212116438598)",107.00000000000,COMUNA 03,JUJUY,RESIDENCIA GERIÁTRICA MANANTIALES,--,JUJUY AV. 1007,1007 JUJUY AV.,"-58,4027836523907","-34,6212116438598",1007.00000000000,SAN CRISTOBAL,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,ingesalvador@yahoo.com.ar administracion@rasansalvador.com.ar,4957-2461
"POINT (-58.4044650662154 -34.5998641459123)",108.00000000000,COMUNA 03,SAN LUIS,OLDMAN RESIDENCIA PARA ADULTOS MAYORES,,SAN LUIS 2726,2726 SAN LUIS,"-58,4044650662154","-34,5998641459123",2726.00000000000,BALVANERA,EDESUR,,,,oldmansa@hotmail.com,4962-0084 / 4963-5535
"POINT (-58.4088132933452 -34.6251832635023)",110.00000000000,COMUNA 03,URQUIZA,RESIDENCIA GERIRÁTRICA DEL ESTE,,"URQUIZA, GRAL. 1236","1236 URQUIZA, GRAL.","-58,4088132933452","-34,6251832635023",1236.00000000000,SAN CRISTOBAL,EDESUR,,,,viviana_polarolo@hotmail.com,4943-0615 / 1540638902
"POINT (-58.3968232365036 -34.6153073976126)",111.00000000000,COMUNA 03,VENEZUELA,INSTITUTO GERIÁTRCO PRINCESS,,REPUBLICA BOLIVARIANA DE VENEZUELA 2142,2142 REPUBLICA BOLIVARIANA DE VENEZUELA,"-58,3968232365036","-34,6153073976126",2142.00000000000,,,,,,contacto@geriatrico-princess.com,4942-5091
"POINT (-58.3982509894489 -34.6335141798695)",112.00000000000,COMUNA 04,ALBERTI,MI LUGAR,Cuello Juan Carlos,ALBERTI 2012,2012 ALBERTI,"-58,3982509894489","-34,6335141798695",2012.00000000000,PARQUE PATRICIOS,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,mansillagusty24@gmail.com,4941-7668
"POINT (-58.3985232918509 -34.6309069977205)",113.00000000000,COMUNA 04,BRASIL,Villa Verde S.R .L,MONICA PROSRAMO,BRASIL 2455,2455 BRASIL,"-58,3985232918509","-34,6309069977205",2455.00000000000,PARQUE PATRICIOS,EDESUR,"78",NO,,residenciavillaverde@yahoo.com.ar,4943-7102 / 4941-3323
"POINT (-58.3826411771404 -34.6490901376592)",114.00000000000,COMUNA 04,CALIFORNIA,LE-SA,Dr. Julio Alberto Boryszanski,CALIFORNIA 2580,2580 CALIFORNIA,"-58,3826411771404","-34,6490901376592",2580.00000000000,BARRACAS,EDESUR,,,, info@geriatricosbarracas.com.ar,4301-7992 / 1551060114
"POINT (-58.3727187060323 -34.6279203678966)",116.00000000000,COMUNA 04,FINOCHIETTO,HOGAR PEHUEN,Lic. Carla Natalia Otero,FINOCHIETTO ENRIQUE DR. 529,529 FINOCHIETTO ENRIQUE DR.,"-58,3727187060323","-34,6279203678966",529.00000000000,BARRACAS,EDESUR,,,,,4300-3138
"POINT (-58.3765283687029 -34.6371334562446)",118.00000000000,COMUNA 04,HORNOS,GERIÁTRICO PRIVADO,Celina Renee Fabrykant,"HORNOS, GRAL. 902","902 HORNOS, GRAL.","-58,3765283687029","-34,6371334562446",902.00000000000,BARRACAS,EDESUR,S/D,NO,,montecarlo73@outlook.com,4919-2784
"POINT (-58.3733794995951 -34.6482734069273)",119.00000000000,COMUNA 04,IRIARTE,RINCÓN DEL SUR,Julio Alberto Boryszanski,"IRIARTE, GRAL. 1756","1756 IRIARTE, GRAL.","-58,3733794995951","-34,6482734069273",1756.00000000000,BARRACAS,EDESUR,,,,geriatricovidaplena@gmail.com,4303-1837 / 1564364769
"POINT (-58.3781329900579 -34.6493285990494)",121.00000000000,COMUNA 04,SAN ANTONIO,LOS ALPES,,SAN ANTONIO 611,611 SAN ANTONIO,"-58,3781329900579","-34,6493285990494",611.00000000000,BARRACAS,EDESUR,,,,Russo_liliana@yahoo.com.ar,4301-2866 / 4988-1170 / 1556643570
"POINT (-58.3767278932188 -34.6530980012605)",122.00000000000,COMUNA 04,SAN ANTONIO,GERIÁTRICO SANTA ISABEL,,SAN ANTONIO 948,948 SAN ANTONIO,"-58,3767278932188","-34,6530980012605",948.00000000000,BARRACAS,EDESUR,,,,pmartinez@estudiocrg.com.ar,4302-6502
"POINT (-58.3803018789597 -34.6497729347282)",123.00000000000,COMUNA 04,SANTA MAGDALENA,CASA GRANDE,,SANTA MAGDALENA 615,615 SANTA MAGDALENA,"-58,3803018789597","-34,6497729347282",615.00000000000,BARRACAS,EDESUR,,,,monica_camerano@yahoo.com.ar,4303-1676
"POINT (-58.3730502762296 -34.63122414615)",124.00000000000,COMUNA 04,TACUARI,RESIDENCIA TACUARI,,TACUARI 2049,2049 TACUARI,"-58,3730502762296","-34,63122414615",2049.00000000000,BARRACAS,EDESUR,"24",NO,,LSAENZ@ESTUDIOCRG.COM.AR,4362-7798
"POINT (-58.4246691475972 -34.6143873033456)",125.00000000000,COMUNA 05,33 ORIENTALES,GERILAND,Ing. Roberto Luis Molina,TREINTA Y TRES ORIENTALES 78,78 TREINTA Y TRES ORIENTALES,"-58,4246691475972","-34,6143873033456",78.00000000000,ALMAGRO,EDESUR,,,,geriland@geriland.com.ar,4981-6535 / 5899 1540532683
"POINT (-58.4229262488417 -34.609916080878)",126.00000000000,COMUNA 05,BARTOLOME MITRE,RESIDENCIA SAN JORGE,Josefa Furnari,"MITRE, BARTOLOME 4008","4008 MITRE, BARTOLOME","-58,4229262488417","-34,609916080878",4008.00000000000,ALMAGRO,EDESUR,,,,josefafurnari@gmail.com,4982-3544
"POINT (-58.4165530417375 -34.6205506400534)",127.00000000000,COMUNA 05,BOEDO,HOGAR GERIÁTRICO COPAHUE,Matha Elena Ferradas,BOEDO AV. 664,664 BOEDO AV.,"-58,4165530417375","-34,6205506400534",664.00000000000,ALMAGRO,EDESUR,S/D,NO,,marthaferradas@yahoo.com.ar,4931-1425
"POINT (-58.4206612542686 -34.6130509352209)",131.00000000000,COMUNA 05,CASTRO BARROS,EL SOLAR DE DON BOSCO,JORGE CAJAVILLA,CASTRO BARROS AV. 93,93 CASTRO BARROS AV.,"-58,4206612542686","-34,6130509352209",93.00000000000,ALMAGRO,EDESUR,"36",NO,,castroseniorapart@gmail.com,4958-0781
"POINT (-58.418858979937 -34.6136660986363)",132.00000000000,COMUNA 05,COLOMBRES,PRIAMO,Juan Carlos Pérsico,COLOMBRES 147,147 COLOMBRES,"-58,418858979937","-34,6136660986363",147.00000000000,ALMAGRO,EDESUR,"16",NO,,persicojuanc@gmail.com,4981-6645 / 4931-4324 / 1136282800
"POINT (-58.4187714262388 -34.6139248167334)",133.00000000000,COMUNA 05,COLOMBRES,NUESTRA SRA. DE LOURDES,"LUIS ALBERTO, CAÑETE",COLOMBRES 161,161 COLOMBRES,"-58,4187714262388","-34,6139248167334",161.00000000000,ALMAGRO,EDESUR,S/D,NO,,"ejborgese@gmail.com, marianbussot@hotmail.com",4981-4080 / 1164869388
"POINT (-58.4211408686085 -34.6085629646601)",134.00000000000,COMUNA 05,DIAZ VELEZ,NUEVO LUCERO,--,DIAZ VELEZ AV. 3876,3876 DIAZ VELEZ AV.,"-58,4211408686085","-34,6085629646601",3876.00000000000,ALMAGRO,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,silvina_felicitas_alvarez@hotmail.com,4983-3477 / 20703041
"POINT (-58.4146435209142 -34.6117043869511)",135.00000000000,COMUNA 05,DON BOSCO,EL JARDIN DE DON BOSCO,JOSE OMAR LATINO,DON BOSCO 3448,3448 DON BOSCO,"-58,4146435209142","-34,6117043869511",3448.00000000000,ALMAGRO,EDESUR,"29",NO,,bpaletta@gmail.com,4863-6854
"POINT (-58.4208545275074 -34.6006741987302)",136.00000000000,COMUNA 05,GUARDIA VIEJA,EL REFUGIO,Beatriz Rivera Otero,GUARDIA VIEJA 4016,4016 GUARDIA VIEJA,"-58,4208545275074","-34,6006741987302",4016.00000000000,ALMAGRO,EDESUR,,,,geriatrico_elrefugio@yahoo.com.ar,4865-9185
"POINT (-58.4136151167178 -34.612670545046)",137.00000000000,COMUNA 05,HIPOLITO YRIGOYEN,RESIDENCIA GERIATRICA DALMAU,Anabela Soledad Mansilla,"YRIGOYEN, HIPOLITO AV. 3314","3314 YRIGOYEN, HIPOLITO AV.","-58,4136151167178","-34,612670545046",3314.00000000000,ALMAGRO,EDESUR,,,,anabellamansilla@yahoo.com.ar,4863-5133
"POINT (-58.4213658306545 -34.6018504511017)",139.00000000000,COMUNA 05,HUMAHUACA,GERIÁTRICO DEL SOL,Carlos Alberto Diez,HUMAHUACA 4037,4037 HUMAHUACA,"-58,4213658306545","-34,6018504511017",4037.00000000000,ALMAGRO,EDESUR,,,,estudio_ghiglione@yahoo.com.ar geriatricodelsol@gmail.com,4862-4871 / 47018055 / 1541839180
"POINT (-58.4205697558254 -34.6060093184514)",140.00000000000,COMUNA 05,JUAN DOMINGO PERON,ALERIAN,Cristina Elena Stragnaro,"PERON, JUAN DOMINGO, TTE. GENERAL 3850","3850 PERON, JUAN DOMINGO, TTE. GENERAL","-58,4205697558254","-34,6060093184514",3850.00000000000,ALMAGRO,EDESUR,,,,cris-groccia@hotmail.com claudia.argentina.ramirez@gmail.com,4983-1353 / 45676420
"POINT (-58.4214041250031 -34.6108690017956)",141.00000000000,COMUNA 05,LEZICA,EL SOLAR DE DON BOSCO,JOSE OMAR LATINO,LEZICA 3917,3917 LEZICA,"-58,4214041250031","-34,6108690017956",3917.00000000000,ALMAGRO,EDESUR,"38",NO,,bpaletta@gmail.com,4931-8977 / 4981-8078 / 4983-3576
"POINT (-58.4247925054079 -34.6117972808585)",142.00000000000,COMUNA 05,LEZICA,LA GRAN FAMILIA,PABLO M. ROSSETTI,LEZICA 4142,4142 LEZICA,"-58,4247925054079","-34,6117972808585",4142.00000000000,ALMAGRO,EDESUR,"25",NO,,pablo_rossetti@hotmail.com barbara.marcote@live.com.ar,4983-6714 / 1537391010
"POINT (-58.416428258204 -34.6019153889505)",143.00000000000,COMUNA 05,MARIO BRAVO,LA CASA DE MIS ABUELOS,"Alejandra Elda, Campana","BRAVO, MARIO 651","651 BRAVO, MARIO","-58,416428258204","-34,6019153889505",651.00000000000,ALMAGRO,EDESUR,,,,nicolas.g_92@hotmail.com aleecampana@hotmail.com,4864-0184 / 1560069765
"POINT (-58.4159015448718 -34.6148565407071)",144.00000000000,COMUNA 05,MAZA,INSTITUTO GERIATRICO MAZA S.H,JORGE ALEJANDRO VILLEGAS,MAZA 336,336 MAZA,"-58,4159015448718","-34,6148565407071",336.00000000000,ALMAGRO,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,aomcon@yahoo.com.ar institutomaza336@yahoo.com.ar,1139715367 /4864-2746
"POINT (-58.4146835435617 -34.6254052790347)",145.00000000000,COMUNA 05,MAZA,SAGRADA FAMILIA,Dr. Eduardo Amilcar Armani,MAZA 1210,1210 MAZA,"-58,4146835435617","-34,6254052790347",1210.00000000000,BOEDO,EDESUR,,,,laura_alastuey@hotmail.com,4931-6907
"POINT (-58.4223758600679 -34.6397264706383)",146.00000000000,COMUNA 05,MUÑIZ,INSTITUTO GERIÁTRCO SAN MARCCOS,--,MUÑIZ 2175,2175 MUÑIZ,"-58,4223758600679","-34,6397264706383",2175.00000000000,BOEDO,EDESUR,,,,cdor.marcelosuarez@gmail.com,4922-0989
"POINT (-58.4154808794874 -34.6137943109916)",148.00000000000,COMUNA 05,PASAJE LUCERO,LUCERO,Dra. Beatriz Rivera Otero,LUCERO 245,245 LUCERO,"-58,4154808794874","-34,6137943109916",245.00000000000,ALMAGRO,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,"silvina_felicitas_alvarez@hotmail.com, geriatricolucero@hotmail.com",4861-4499 / 20703041
"POINT (-58.4235409776583 -34.6127704807566)",150.00000000000,COMUNA 05,QUINTINO BOCAYUVA,PLAZA DEL SOL,,"BOCAYUVA, QUINTINO 18","18 BOCAYUVA, QUINTINO","-58,4235409776583","-34,6127704807566",18.00000000000,ALMAGRO,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,maru220v@hotmail.com info@geriatricovillasol.com.ar,4983-3322 15444716778
"POINT (-58.4188522859786 -34.611051952208)",151.00000000000,COMUNA 05,RIVADAVIA,GERIÁTRICO MONTERREY,,RIVADAVIA AV. 3731,3731 RIVADAVIA AV.,"-58,4188522859786","-34,611051952208",3731.00000000000,ALMAGRO,EDESUR,S/D,NO,,sanglarcollado@gmail.com,15-5893-8506
"POINT (-58.421759024292 -34.6346591699245)",152.00000000000,COMUNA 05,SALCEDO,NUEVA CASA,,SALCEDO 4158,4158 SALCEDO,"-58,421759024292","-34,6346591699245",4158.00000000000,BOEDO,EDESUR,"26",NO,,ana@residenciamonterrey.com.ar,4958-5515
"POINT (-58.4225411109715 -34.6247164735156)",153.00000000000,COMUNA 05,TOTORAL,RESIDENCIA GERIATRICA A. MARTINO ASELFU S.R.L.,,TOTORAL 994,994 TOTORAL,"-58,4225411109715","-34,6247164735156",994.00000000000,BOEDO,EDESUR,"33",NO,,geriatricosprivados@gmail.com,4981 0195/ 4501 7240 / 4923 4199
"POINT (-58.4164810298068 -34.5991635527783)",154.00000000000,COMUNA 05,TUCUMAN,LA ROSA BLANCA,,TUCUMAN 3629,3629 TUCUMAN,"-58,4164810298068","-34,5991635527783",3629.00000000000,ALMAGRO,EDESUR,S/D,NO,,geriatricodonbosco@gmail.com,4922-7129
"POINT (-58.4180551189266 -34.5987253632308)",155.00000000000,COMUNA 05,TUCUMAN,SAN EVARISTO,,TUCUMAN 3738,3738 TUCUMAN,"-58,4180551189266","-34,5987253632308",3738.00000000000,ALMAGRO,EDESUR,S/D,SI,"ASCENSOR, BOMBAS Y HELADERAS",sueldosferreira@yahoo.com.ar,4863-6152
"POINT (-58.4212104385491 -34.6006387853895)",156.00000000000,COMUNA 05,GUARDIA VIEJA,RESIDENCIA EN FAMILIA,Lic. Vilma Violeta Villanueva Morillo,GUARDIA VIEJA 4038,4038 GUARDIA VIEJA,"-58,4212104385491","-34,6006387853895",4038.00000000000,,,,,,hogarsangervasio@yahoo.com.ar,4862-1413 / 4861-7452
"POINT (-58.4249910163194 -34.6204176219975)",157.00000000000,COMUNA 05,MEXICO,AÑOS DORADOS,Cynthia llamas,MEXICO 4167,4167 MEXICO,"-58,4249910163194","-34,6204176219975",4167.00000000000,,,,,,vilmavillanueva4@hotmail.com,4867-0859
"POINT (-58.4257387982112 -34.6260578009289)",158.00000000000,COMUNA 05,MUÑIZ,DULCE HOGAR,EMMA VIDAL SANCHEZ,MUÑIZ 1009,1009 MUÑIZ,"-58,4257387982112","-34,6260578009289",1009.00000000000,,,,,,cynll@hotmail.com,4931-5131 / 1556590835
"POINT (-58.4575316570907 -34.6060706737596)",161.00000000000,COMUNA 06,BELAUSTEGUI LUIS,GERIÁTRICO BELAUSTEGUI,LILIANA NOEMI BATISTA,"BELAUSTEGUI, LUIS, DR. 1213","1213 BELAUSTEGUI, LUIS, DR.","-58,4575316570907","-34,6060706737596",1213.00000000000,CABALLITO,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,"pablo_rossetti@hotmail.com, abaco_hlg@hotmail.com, barbara.marcote@live.com.ar, geriatricosoledad@gmail.com",4981-0140 / 15 3739 1010
"POINT (-58.4313033599647 -34.612353438915)",162.00000000000,COMUNA 06,BOGOTA,,,BOGOTA 50,50 BOGOTA,"-58,4313033599647","-34,612353438915",50.00000000000,CABALLITO,EDESUR,,,,montemilano5@gmail.com,4581-1813
"POINT (-58.4333871467938 -34.613125850561)",163.00000000000,COMUNA 06,BOGOTA,GALA PETIT HOTEL,María Eugenia Patricia Mac Allister,BOGOTA 137,137 BOGOTA,"-58,4333871467938","-34,613125850561",137.00000000000,CABALLITO,EDESUR,S/D,NO,,info@gruposh.com.ar,4982-4449 / 49831371
"POINT (-58.4430838159344 -34.612826133158)",165.00000000000,COMUNA 06,COLPAYO,COLPAYO,Marcelo Gustavo Calandria,COLPAYO 657,657 COLPAYO,"-58,4430838159344","-34,612826133158",657.00000000000,CABALLITO,EDESUR,,,,noraalastuey@hotmail.com,4901-2393 /11-5953-0503
"POINT (-58.4566478354016 -34.6199530458918)",167.00000000000,COMUNA 06,DONATO ALVAREZ,RENACER II,Adriana Inés Weisman,"ALVAREZ, DONATO, TTE. GRAL. 505","505 ALVAREZ, DONATO, TTE. GRAL.","-58,4566478354016","-34,6199530458918",505.00000000000,CABALLITO,EDESUR,"32",NO,,abaco_hlg@hotmail.com barbara.marcote@live.com.ar,4901-2192 / 15-64620637 / 1557729653
"POINT (-58.4570610493081 -34.6190486147497)",168.00000000000,COMUNA 06,DONATO ALVAREZ,HOGAR OSIRIS,MIGLIORI ANA MARIA,"ALVAREZ, DONATO, TTE. GRAL. 573","573 ALVAREZ, DONATO, TTE. GRAL.","-58,4570610493081","-34,6190486147497",573.00000000000,CABALLITO,EDESUR,,,,flor_donato@hotmail.com,4631-4659 / 15-44456967
"POINT (-58.4416106002978 -34.6175394615823)",172.00000000000,COMUNA 06,GIORDANO BRUNO 845,RESIDENCIA GERIATRICA CABALLITO,PABLO WILDER,"BRUNO, GIORDANO 845","845 BRUNO, GIORDANO","-58,4416106002978","-34,6175394615823",0.00000000000,,,,,,fernandozilla@gmail.com,4433-1280
"POINT (-58.4346501531639 -34.6149686349944)",173.00000000000,COMUNA 06,GREGORIO ARAOZ ALFARO,ESTABLECIMIENTO GERIÁTRICO NEUQUÉN,DOMINGO PEDRO CARRIQIRI,"ARAOZ ALFARO, GREGORIO, DR 258","258 ARAOZ ALFARO, GREGORIO, DR","-58,4346501531639","-34,6149686349944",258.00000000000,CABALLITO,EDESUR,,,,giocar.neuquen@gmail.com,4902-3719/49019772
"POINT (-58.4304000790916 -34.6197178628062)",174.00000000000,COMUNA 06,GUAYAQUIL,CLÍNICA GERIÁTRICA GUAYAQUIL,Dr. Miguel Ángel José Fischetti,GUAYAQUIL 143,143 GUAYAQUIL,"-58,4304000790916","-34,6197178628062",143.00000000000,CABALLITO,EDESUR,,,,oficinaroca@hotmail.com,4902-1557
"POINT (-58.4410688881512 -34.6139076750133)",175.00000000000,COMUNA 06,HONORIO PUEYRREDON,INSTITUTO SAN FRANCISCO,"Ricardo, Florio","PUEYRREDON, HONORIO, DR. AV. 508","508 PUEYRREDON, HONORIO, DR. AV.","-58,4410688881512","-34,6139076750133",508.00000000000,CABALLITO,EDESUR,,,,tervalencia@hotmail.com,5901-5586 / 4982-5583 / 1156061505
"POINT (-58.444168693202 -34.6094274740249)",176.00000000000,COMUNA 06,HONORIO PUEYRREDON,AGAPE,BLAS JOSE RIMMOUDO,"PUEYRREDON, HONORIO, DR. AV. 958","958 PUEYRREDON, HONORIO, DR. AV.","-58,444168693202","-34,6094274740249",958.00000000000,CABALLITO,EDESUR,,,,gerenciacaballito@gmail.com,4903-0391 / 4903-0068
"POINT (-58.4447252746882 -34.608702061719)",177.00000000000,COMUNA 06,HONORIO PUEYRREDON,EL BUEN PASTOR,Teresa Valencia Campos,"PUEYRREDON, HONORIO, DR. AV. 1026","1026 PUEYRREDON, HONORIO, DR. AV.","-58,4447252746882","-34,608702061719",1026.00000000000,CABALLITO,EDESUR,S/D,NO,,"arias_loana@hotmail.com, agaperesidencia@gmail.com",4982-9844 / 4076
"POINT (-58.4496826009145 -34.6245499477192)",178.00000000000,COMUNA 06,MIRO,RESIDENCIA SAN LUCAS,"ROMINA CARLA, DE MARTINO",MIRO 54,54 MIRO,"-58,4496826009145","-34,6245499477192",54.00000000000,CABALLITO,EDESUR,,NO,S/D,rgsanlucas@fibertel.com.ar,4431-8315 / 1144313337
"POINT (-58.4383255958784 -34.6159401329973)",179.00000000000,COMUNA 06,NEUQUEN,SANTA ROSA DE LIMA,--,NEUQUEN 551,551 NEUQUEN,"-58,4383255958784","-34,6159401329973",551.00000000000,CABALLITO,EDESUR,,,,santarosa.geriatrico@gmail.com,4903-2443
"POINT (-58.4592177266075 -34.6077239267721)",180.00000000000,COMUNA 06,NICASIO OROÑO,RINCÓN DEL SOL,Alicia Elba Dotti y Graciela María Armagno,"OROÑO, NICASIO 1538","1538 OROÑO, NICASIO","-58,4592177266075","-34,6077239267721",1538.00000000000,CABALLITO,EDESUR,,,,"martagoto@fortalezagroup.com.ar, residenciaaunar@gmail.com",4582-0770
"POINT (-58.4570127205688 -34.6108619389542)",181.00000000000,COMUNA 06,NICASIO OROÑO,RESIDENCIA AUNAR,--,"OROÑO, NICASIO 1236","1236 OROÑO, NICASIO","-58,4570127205688","-34,6108619389542",1236.00000000000,CABALLITO,EDESUR,"24",NO,,gustavoestudio@fibertel.com.ar admin@ipsamail.com info@ipsamail.com rominavillarubio1981@gmail.com,49235994 / 1560001602 / 45819452
"POINT (-58.4422056686925 -34.627074033902)",182.00000000000,COMUNA 06,NICOLAS E. VIDELA,RESIDENCIA GERIATRICA EN CASA,PEREZ URBIZU JUAN JOSE,"VIDELA, NICOLAS E. 530","530 VIDELA, NICOLAS E.","-58,4422056686925","-34,627074033902",530.00000000000,CABALLITO,EDESUR,S/D,NO,,juanjopurbizu@hotmail.com,4431-3796
"POINT (-58.4549052751955 -34.6094302116932)",183.00000000000,COMUNA 06,PAYSANDU,GERIÁTRICO PAYSANDÚ,,PAYSANDU 1275,1275 PAYSANDU,"-58,4549052751955","-34,6094302116932",1275.00000000000,CABALLITO,EDESUR,S/D,NO,,gachys2007@hotmail.com denisechabin@outlook.com gpaysandu@gmail.com,50316885 4582-9898
"POINT (-58.4277039505418 -34.6251869638222)",184.00000000000,COMUNA 06,PEDRO GOYENA,RESIDENCIA GERIÁTRICA PEDRO GOYENA,,"GOYENA, PEDRO AV. 38","38 GOYENA, PEDRO AV.","-58,4277039505418","-34,6251869638222",38.00000000000,CABALLITO,EDESUR,,,,nataliaducont@outlook.com,3531-0040 / 15-59645034 / 49031413
"POINT (-58.4517960265795 -34.6284002617236)",185.00000000000,COMUNA 06,PEDRO GOYENA,JOHN - JOHN,,"GOYENA, PEDRO AV. 1665","1665 GOYENA, PEDRO AV.","-58,4517960265795","-34,6284002617236",1665.00000000000,CABALLITO,EDESUR,,,,nataliaducont@outlook.com,4432-3883
"POINT (-58.4276470733553 -34.6251812107318)",186.00000000000,COMUNA 06,PEDRO GOYENA AV. 34,MI NUEVO HOGAR,,"GOYENA, PEDRO AV. 34","34 GOYENA, PEDRO AV.","-58,4276470733553","-34,6251812107318",0.00000000000,,,,,,diegobai1@hotmail.com,4922-4492
"POINT (-58.4500394618477 -34.6116334197998)",187.00000000000,COMUNA 06,PUJOL,RESIDENCIA BUENOS AIRES,,PUJOL 961,961 PUJOL,"-58,4500394618477","-34,6116334197998",961.00000000000,CABALLITO,EDESUR,,,,resgermodelobsas@yahoo.com.ar,4581-0294
"POINT (-58.4558246896165 -34.6164662581512)",190.00000000000,COMUNA 06,SEGUI,STELLA MARIS,,"SEGUI, F. J., ALTE. 768","768 SEGUI, F. J., ALTE.","-58,4558246896165","-34,6164662581512",768.00000000000,CABALLITO,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,geriatricostellamaris@gmail.com,4632-0352
"POINT (-58.4288481962973 -34.6240147566621)",191.00000000000,COMUNA 06,SENILLOSA,CENTRO SENILLOSA,,SENILLOSA 617,617 SENILLOSA,"-58,4288481962973","-34,6240147566621",617.00000000000,CABALLITO,EDESUR,S/D,NO,,leandrobedoya@hotmail.com,4921-5765 / 35337707
"POINT (-58.4446714470028 -34.6245876257024)",195.00000000000,COMUNA 06,VICTOR MARTINEZ,RESIDENCIA GERIÁTRICA EN FAMILIA,,"MARTINEZ, VICTOR 241","241 MARTINEZ, VICTOR","-58,4446714470028","-34,6245876257024",241.00000000000,CABALLITO,EDESUR,,,,rgenfamilia@gmail.com,4432-0762
"POINT (-58.4473472726826 -34.6320434443435)",196.00000000000,COMUNA 07,ACHAVAL,MEDALLA MILAGROSA,,ACHAVAL 640,640 ACHAVAL,"-58,4473472726826","-34,6320434443435",640.00000000000,PARQUE CHACABUCO,EDESUR,,,,lucyana88ferreyra@hotmail.com,4432-8103
