WKT,id,nombre,direccion,telefono,email,web,mecanica_s,horario_de,calle,altura,calle2,direccion_,barrio,comuna
"POINT (-58.492866511267 -34.5713874655297)","105",Venton,Av. Congreso 5336,4568-0123,info@venton.com.ar,https://www.facebook.com/pages/Venton-SRL/496803220343228?fref=ts,False,,Congreso,"5336",,CONGRESO AV. 5336,Villa Urquiza,Comuna 12
"POINT (-58.4747103040855 -34.5628766882312)","106",McGiver,Manuel Ugarte 3663,4547-0327,,,False,,Manuel Ugarte,"3663",,"UGARTE, MANUEL 3663",Coghlan,Comuna 12
"POINT (-58.437608880681 -34.6045094278806)","107",Babe Bikes,Warnes 10,4854-9862,info@babebikes.com.ar,,False,,Warnes,"10",,WARNES AV. 10,Villa Crespo,Comuna 15
"POINT (-58.4581551666852 -34.5749862156747)","108",Bicicletería De Felice,Superí 1300,4553-2700,bicicleteriadefelice@hotmail.com,,False,,Superi,"1300",,SUPERI 1300,Colegiales,Comuna 13
"POINT (-58.4159566479263 -34.5862359016237)","109",Black Bike,Aráoz 2446,4832-2676,blackbikearaoz@gmail.com,,False,,Araoz,"2446",,ARAOZ 2446,Palermo,Comuna 14
"POINT (-58.3845574551647 -34.5970131668896)","110",Ciclo,Marcelo T. de Alvear 1228,,info@craftybikes.com.ar,,False,,Marcelo T. de Alvear,"1228",,"ALVEAR, MARCELO T. DE 1228",Retiro,Comuna 1
"POINT (-58.4574119531551 -34.5569363202729)","111",Green Line,Monroe 2146,4780-5318,greenlinebike@hotmail.com,,False,,Monroe,"2146",,MONROE 2146,Belgrano,Comuna 13
"POINT (-58.3851873845823 -34.5958198432518)","112",Huella Verde Bicicletas,Santa Fe 1270 - Local 17,15 5722-9129,huellaverdebicicletas@gmail.com,,False,,Santa Fe,"1270",,SANTA FE AV. 1270,Retiro,Comuna 1
"POINT (-58.4152302782022 -34.5954674107376)","113",Cyklos,Gorriti 3609,2002-6566,cyklos@outlook.com,https://www.facebook.com/cyklosbicipartes,True,,Gorriti,"3609",,GORRITI 3609,Palermo,Comuna 14
"POINT (-58.4532870118742 -34.5799347951373)","114",Ochoa Bikes,Av. Álvarez Thomas 786,4551-7586 - 15 2264-0532,info@ochoabikes.com.ar,http://www.ochoabikes.com.ar/,True,Lunes a viernes de 9 a 20 y Sábados de 9.30 a 17.30,alvarez thomas,"786",,ALVAREZ THOMAS AV. 786,Chacarita,Comuna 15
"POINT (-58.5025613901412 -34.5665513699511)","115",Golden Bike,Ceretti 3596,4571-7101,info@goldenbike.com.ar,www.goldenbike.com.ar,True,Lun a viernes de 10 a 19 y Sábados de 10 a 17,Ceretti,"3596",,CERETTI 3596,Villa Urquiza,Comuna 12
"POINT (-58.5139421566047 -34.66015584055)","116",Ham Bike,Juan B. Alberdi 7198 y Montiel,4686-6508,hernanmare@gmail.com,https://www.facebook.com/profile.php?id=100001678634224,False,Lun - Vie: 9:30 - 18:30/Sáb: 9:30 - 18:00,Juan Alberdi,"7198",,"ALBERDI, JUAN BAUTISTA AV. 7198",Mataderos,Comuna 9
"POINT (-58.3924248557014 -34.5940165738457)","117",Betrece B13,Juncal 1760,4811-1135,b13bicis@gmail.com,http://b13bicis.com/,False,Lun a Vier de 10 a 20/Sáb de 10 a 14,Juncal,"1760",,JUNCAL 1760,Recoleta,Comuna 2
"POINT (-58.4395989083032 -34.5854749922099)","118",Belgravia Tailor Made Bicyles,Bonpland 1459,(15) 4429 1001,hola@belgravia.com.ar,www.facebook.com/BelgraviaBikes,False,,Bonpland,"1459",,BONPLAND 1459,Palermo,Comuna 14
"POINT (-58.4514064416743 -34.6064832870543)","119",Pedal BA,Av. San Martín 1544,2063-8558,bicicleteriapedal@gmail.com,https://www.facebook.com/bicicleteriapedal,False,Lun a vier de 10 a 13 y de 15 a 20/Sáb de 11 a 14,San Martin Av,"1544",,SAN MARTIN AV. 1544,Caballito,Comuna 6
"POINT (-58.41682788474 -34.595271412766)","120",BiciCity,Bulnes 1422,4862-2574,info@bicicity.com.ar,www.facebook.com/BiciCity-1615714655383646/?fref=ts),True,Lunes a Sábados de 9:30 a 13:00 y 15:00 a 19:30,Bulnes,"1422",,BULNES 1422,Palermo,Comuna 14
"POINT (-58.4352606531347 -34.5676102200762)","121",Bicis,Jorge Newbery 1741,011 3964-1570,bicis@outlook.com.ar,www.bicisbikes.com.ar,False,Lunes a Sábados de 10 a 20 hs. Feriados Cerrado.,jorge newbery,"1741",,"NEWBERY, JORGE 1741",Palermo,Comuna 14
"POINT (-58.4540104298256 -34.6132076385661)","122",Bicicletería Bike Doctor,Fragata Pres. Sarmiento 966,3976-5602,,https://www.facebook.com/BushBikeDoctor/  -- https://www.instagram.com/bikedoctorbici/,False,Martes a Viernes de 10 a 13 y de 15 a 19 - Sábado y Domingo de 12 a 18,Fragata Sarmiento,"966",,FRAGATA PRES. SARMIENTO 966,Caballito,Comuna 6
"POINT (-58.4221769107392 -34.5994544804325)","123",Rodados La Esquina Express,Francisco Acuña de Figueroa 1000,2659-7421,expresslaesquina@gmail.com,Facebook: rodadoslaesquinaexpress,True,,Francisco Acuña de Figueroa,"1000",,"ACUÑA DE FIGUEROA, FRANCISCO 1000",Almagro,Comuna 5
